Grapheme	Zhou	Baxter
wæi	w-æi-.	w-æj-.
ji	j-i-.	y-ij-.
iəu	i-əu-.	j-iw-.
iek	i-e-k	.-e-k
ĭwɛk	ĭw-ɛ-k	w-e-k
ĭuĕt	ĭu-ĕ-t	w-i-t
wan	w-a-n	w-æ-n
ĭɐk	ĭ-ɐ-k	j-æ-k
iet	i-e-t	.-e-t
iweŋ	iw-e-ŋ	w-e-ng
uɑt	u-ɑ-t	.-a-t
ĭɛp	ĭ-ɛ-p	.-e-p
ĭwɐk	ĭw-ɐ-k	w-æ-k
iep	i-e-p	j-e-p
ĭən	ĭ-ə-n	j-ɨ-n
ĭwok	ĭw-o-k	.-ow-k
ĭwɐŋ	ĭw-ɐ-ŋ	jw-æ-ng
wɐŋ	w-ɐ-ŋ	w-æ-ng
ĭɐt	ĭ-ɐ-t	j-o-t
uok	u-o-k	.-ow-k
iwet	iw-e-t	w-e-t
ĭwɛt	ĭw-ɛ-t	jw-e-t
wæt	w-æ-t	.-ɛ-t
jĭĕn	j-ĭĕ-n	.-i-n
jĭɛn	j-ĭɛ-n	.-e-n
iwek	iw-e-k	w-e-k
wæk	w-æ-k	w-ea-k
ĭet	ĭ-e-t	.-i-t
ĭwɛi	ĭw-ɛi-.	w-ej-.
ĭwĕn	ĭw-ĕ-n	w-i-n
ĭwi	ĭw-i-.	w-ij-.
wæn	w-æ-n	w-ea-n
ĭwak	ĭw-a-k	j-a-k
iwen	iw-e-n	w-e-n
uəŋ	u-ə-ŋ	w-o-ng
ĭɐi	ĭ-ɐi-.	j-oj-.
wɐk	w-ɐ-k	w-æ-k
jĭuŋ	j-ĭu-ŋ	.-uw-ng
jĭə	j-ĭə-.	?-?-.
jĭo	j-ĭo-.	.-o-.
˩	˩	.
˥˩	˥˩	.
˥	˥	X
˩˥	˩˥	H
^dzʰæn˩	^dzʰ-.-æ-n-˩	?-?-?-n-.
^təŋ˥˩	^t-.-ə-ŋ-˥˩	t-.-o-ng-.
^ʔĭĕt	^ʔ-ĭ-ĕ-t-.	ʔ-j-i-t-.
^tieŋ˥˩	^t-i-e-ŋ-˥˩	t-.-e-ng-.
^tsʰĭĕt	^tsʰ-ĭ-ĕ-t-.	tsh-.-i-t-.
^ɖʰĭaŋ˥	^ɖʰ-ĭ-a-ŋ-˥	dr-j-a-ng-X
^sɑm˥˩	^s-.-ɑ-m-˥˩	s-.-a-m-.
^sɑm˩˥	^s-.-ɑ-m-˩˥	s-.-a-m-H
^ɣa˩˥	^ɣ-.-a-.-˩˥	h-.-æ-.-H
^ɣa˥	^ɣ-.-a-.-˥	h-.-æ-.-X
^ţʰĭəu˥	^ţʰ-ĭ-əu-.-˥	trh-j-uw-.-X
^pʰi˥˩	^pʰ-.-i-.-˥˩	ph-.-ij-.-.
^kʰĭəu˥˩	^kʰ-ĭ-əu-.-˥˩	kh-j-uw-.-.
^pĭɐŋ˥	^p-ĭ-ɐ-ŋ-˥	p-j-æ-ng-X
^bʰieŋ˥	^bʰ-i-e-ŋ-˥	b-.-e-ng-X
^kɑ˩˥	^k-.-ɑ-.-˩˥	k-.-a-.-H
^ţĭuŋ˥˩	^ţ-ĭ-u-ŋ-˥˩	tr-j-uw-ng-.
^ţĭuŋ˩˥	^ţ-ĭ-u-ŋ-˩˥	tr-j-uw-ng-H
^ɣuɑn˩	^ɣ-u-ɑ-n-˩	h-w-a-n-.
^tɕĭu˥	^tɕ-ĭ-u-.-˥	tsy-.-u-.-X
^nɒi˥	^n-.-ɒi-.-˥	n-.-oj-.-X
^kĭəu˥	^k-ĭ-əu-.-˥	k-j-uw-.-X
^tɕĭə˥˩	^tɕ-ĭ-ə-.-˥˩	tsy-.-i-.-.
^ɣu˩	^ɣ-.-u-.-˩	h-.-u-.-.
^bʰĭwɐp	^bʰ-ĭw-ɐ-p-.	b-j-o-p-.
^kwɐi˥˩	^k-w-ɐi-.-˥˩	k-w-ɛj-.-.
^kʰĭət	^kʰ-ĭ-ə-t-.	kh-j-ɨ-t-.
^jĭa˥	^j-ĭ-a-.-˥	y-.-æ-.-X
^kɑn˥˩	^k-.-ɑ-n-˥˩	k-.-a-n-.
^luɑn˩˥	^l-u-ɑ-n-˩˥	l-w-a-n-H
^nʑi˩˥	^nʑ-.-i-.-˩˥	ny-.-ij-.-H
^ĭu˩	^.-ĭ-u-.-˩	h-j-u-.-.
^ĭuən˩	^.-ĭ-uə-n-˩	h-j-u-n-.
^ŋu˥	^ŋ-.-u-.-˥	ng-.-u-.-X
^kəŋ˩˥	^k-.-ə-ŋ-˩˥	h-w-a-n-.
^ʔa˩˥	^ʔ-.-a-.-˩˥	ʔ-.-æ-.-H
^mĭwaŋ˩	^m-ĭw-a-ŋ-˩	m-j-a-ng-.
^kau˥˩	^k-.-au-.-˥˩	k-.-æw-.-.
^ɣɒi˥	^ɣ-.-ɒi-.-˥	h-.-oj-.-X
^jĭɛk	^j-ĭ-ɛ-k-.	y-.-e-k-.
^kĭɐŋ˥˩	^k-ĭ-ɐ-ŋ-˥˩	k-j-æ-ng-.
^nʑĭĕn˩	^nʑ-ĭ-ĕ-n-˩	ny-.-i-n-.
^kĭĕm˥˩	^k-ĭ-ĕ-m-˥˩	k-.-i-m-.
^kɐi˩˥	^k-.-ɐi-.-˩˥	k-.-ɛj-.-H
^nʑĭəŋ˩	^nʑ-ĭ-ə-ŋ-˩	ny-.-i-ng-.
^dʒʰĭə˥	^dʒʰ-ĭ-ə-.-˥	dzr-.-i-.-X
^tʰɑ˥˩	^tʰ-.-ɑ-.-˥˩	th-.-a-.-.
^sĭɛn˥˩	^s-ĭ-ɛ-n-˥˩	s-j-e-n-.
^dʰɒi˩˥	^dʰ-.-ɒi-.-˩˥	d-.-oj-.-H
^lĭɛn˩	^l-ĭ-ɛ-n-˩	l-j-ie-n-.
^lĭɛŋ˩	^l-ĭ-ɛ-ŋ-˩	l-j-ie-ng-.
^lieŋ˩	^l-i-e-ŋ-˩	l-j-e-ng-.
^lĭɛŋ˩˥	^l-ĭ-ɛ-ŋ-˩˥	l-j-ie-ng-H
^lieŋ˩˥	^l-i-e-ŋ-˩˥	l-j-e-ng-H
^jĭə˥	^j-ĭ-ə-.-˥	y-.-i-.-X
^ɖʰĭuŋ˩˥	^ɖʰ-ĭ-u-ŋ-˩˥	dr-j-uw-ng-H
^nʑĭĕm˩	^nʑ-ĭ-ĕ-m-˩	ny-.-i-m-X
^nʑĭĕm˩˥	^nʑ-ĭ-ĕ-m-˩˥	ny-.-i-m-H
^ʔi˥˩	^ʔ-.-i-.-˥˩	ʔ-j-ij-.-.
^bʰĭwɐt	^bʰ-ĭw-ɐ-t-.	b-j-o-t-.
^xĭəu˥˩	^x-ĭ-əu-.-˥˩	x-j-uw-.-.
^pɐk	^p-.-ɐ-k-.	p-.-æ-k-.
^bʰuɑn˥	^bʰ-u-ɑ-n-˥	b-.-a-n-X
^bʰuɑn˩˥	^bʰ-u-ɑ-n-˩˥	b-.-a-n-H
^zĭə˥	^z-ĭ-ə-.-˥	z-.-i-.-X
^dʰien˩	^dʰ-i-e-n-˩	d-.-e-n-X
^dʰien˩˥	^dʰ-i-e-n-˩˥	d-.-e-n-H
^dʰɑn˩	^dʰ-.-ɑ-n-˩	d-.-a-n-.
^dʰɑn˥	^dʰ-.-ɑ-n-˥	d-.-a-n-X
^dʰɑn˩˥	^dʰ-.-ɑ-n-˩˥	d-.-a-n-H
^wi˩˥	^.-w-i-.-˩˥	h-w-ij-.-H
^tsɑ˩˥	^ts-.-ɑ-.-˩˥	ts-.-a-.-H
^ɣɑ˩	^ɣ-.-ɑ-.-˩	h-.-a-.-.
^ɣɑ˥	^ɣ-.-ɑ-.-˥	h-.-a-.-X
^jĭo˩	^j-ĭ-o-.-˩	y-.-o-.-.
^ʑĭa˩	^ʑ-ĭ-a-.-˩	dzy-.-o-.-.
