Grapheme	Zhou	Baxter
^kĭɐŋ˩˥	^k-ĭ-ɐ-ŋ-˩˥	k-j-æ-ng-H
^tɕĭɛŋ˥	^tɕ-ĭ-ɛ-ŋ-˥	tsy-.-e-ng-X
^pʰĭu˥˩	^pʰ-ĭ-u-.-˥˩	ph-j-u-.-.
^ʃĭu˥	^ʃ-ĭ-u-.-˥	sr-j-u-.-X
^ʃĭu˩˥	^ʃ-ĭ-u-.-˩˥	sr-j-u-.-H
^ʃɔk	^ʃ-.-ɔ-k-.	sr-.-æw-k-.
^lĭɛm˥	^l-ĭ-ɛ-m-˥	l-j-e-m-X
^lĭɛm˩˥	^l-ĭ-ɛ-m-˩˥	l-j-e-m-H
^mĭuən˩	^m-ĭ-uə-n-˩	m-j-u-n-.
^təu˥	^t-.-əu-.-˥	t-.-uw-.-X
^kĭən˥˩	^k-ĭ-ə-n-˥˩	k-j-ɨ-n-.
^kĭən˩˥	^k-ĭ-ə-n-˩˥	k-j-ɨ-n-H
^ʧɐm˥	^ʧ-.-ɐ-m-˥	tsr-.-ɛ-m-X
^sĭe˥˩	^s-ĭ-e-.-˥˩	s-j-e-.-.
^pĭwaŋ˥˩	^p-ĭw-a-ŋ-˥˩	p-j-a-ng-.
^ʔĭo˥˩	^ʔ-ĭ-o-.-˥˩	ʔ-j-o-.-.
^ʔu˥˩	^ʔ-.-u-.-˥˩	ʔ-.-u-.-.
^ɕĭe˥˩	^ɕ-ĭ-e-.-˥˩	sy-.-e-.-.
^ɕĭe˩˥	^ɕ-ĭ-e-.-˩˥	sy-.-e-.-H
^nʑĭĕt	^nʑ-ĭ-ĕ-t-.	ny-.-i-t-.
^tɑn˩˥	^t-.-ɑ-n-˩˥	t-.-a-n-H
^tɕi˥	^tɕ-.-i-.-˥	tsy-.-ij-.-X
^tsɑu˥	^ts-.-ɑu-.-˥	ts-.-aw-.-X
^zĭuĕn˩	^z-ĭu-ĕ-n-˩	z-w-i-n-.
^ɣɑn˥	^ɣ-.-ɑ-n-˥	h-.-a-n-X
^kuən˥˩	^k-u-ə-n-˥˩	k-w-o-n-.
^mĭɐŋ˩	^m-ĭ-ɐ-ŋ-˩	m-j-æ-ng-.
^jĭe˩˥	^j-ĭ-e-.-˩˥	y-.-e-.-H
^sĭɛk	^s-ĭ-ɛ-k-.	s-j-e-k-.
^dzʰɑk	^dzʰ-.-ɑ-k-.	dz-.-a-k-.
^tɕĭɛu˥˩	^tɕ-ĭ-ɛu-.-˥˩	tsy-.-ew-.-.
^ʑĭe˥	^ʑ-ĭ-e-.-˥	dzy-.-e-.-X
^ʑĭə˩	^ʑ-ĭ-ə-.-˩	dzy-.-i-.-.
^tsĭĕn˩˥	^ts-ĭ-ĕ-n-˩˥	ts-.-i-n-H
^ʔan˩˥	^ʔ-.-a-n-˩˥	ʔ-.-æ-n-H
^kĭɐŋ˥	^k-ĭ-ɐ-ŋ-˥	k-j-æ-ng-X
^dzʰɑm˩˥	^dzʰ-.-ɑ-m-˩˥	dz-.-a-m-H
^kʰuɑŋ˩˥	^kʰ-u-ɑ-ŋ-˩˥	kh-w-a-ng-H
^kʰĭwok	^kʰ-ĭw-o-k-.	kh-j-ow-k-.
^kɐŋ˩˥	^k-.-ɐ-ŋ-˩˥	k-.-æ-ng-H
^ɣɑt	^ɣ-.-ɑ-t-.	h-.-a-t-.
^ɕĭo˥˩	^ɕ-ĭ-o-.-˥˩	sy-.-o-.-.
^dzʰɑu˩	^dzʰ-.-ɑu-.-˩	dz-.-aw-.-.
^tsuɑi˩˥	^ts-u-ɑi-.-˩˥	ts-w-aj-.-H
^ɣuɑi˩˥	^ɣ-u-ɑi-.-˩˥	h-w-aj-.-H
^kuɑi˩˥	^k-u-ɑi-.-˩˥	k-w-aj-.-H
^ŋĭwɐt	^ŋ-ĭw-ɐ-t-.	ng-jw-o-t-.
^ĭəu˥	^.-ĭ-əu-.-˥	h-j-uw-.-X
^bʰəŋ˩	^bʰ-.-ə-ŋ-˩	b-.-o-ng-.
^ɖʰĭĕm˥	^ɖʰ-ĭ-ĕ-m-˥	dr-.-i-m-X
^lɑŋ˥	^l-.-ɑ-ŋ-˥	l-.-a-ng-X
^muk	^m-.-u-k-.	m-.-uw-k-.
^muɑt	^m-u-ɑ-t-.	m-.-a-t-.
^puən˥	^p-u-ə-n-˥	p-w-o-n-X
^tɕĭu˥˩	^tɕ-ĭ-u-.-˥˩	tsy-.-u-.-.
^xĭəu˥	^x-ĭ-əu-.-˥	x-j-uw-.-X
^ɣɐŋ˥	^ɣ-.-ɐ-ŋ-˥	h-.-æ-ng-X
^puɒi˥˩	^p-u-ɒi-.-˥˩	p-w-oj-.-.
^pan˥	^p-.-a-n-˥	p-.-æ-n-X
^ɖʰĭĕm˩	^ɖʰ-ĭ-ĕ-m-˩	dzy-.-i-m-.
^tɕĭĕm˥	^tɕ-ĭ-ĕ-m-˥	tsy-.-i-m-X
^tɕĭĕm˩˥	^tɕ-ĭ-ĕ-m-˩˥	tsy-.-i-m-H
^lĭĕm˩	^l-ĭ-ĕ-m-˩	l-.-i-m-.
^kuɑ˥	^k-u-ɑ-.-˥	k-w-a-.-X
^nʑĭɛm˥	^nʑ-ĭ-ɛ-m-˥	ny-.-e-m-X
^nʑĭɛm˩˥	^nʑ-ĭ-ɛ-m-˩˥	ny-.-e-m-H
^ɖʰĭu˥	^ɖʰ-ĭ-u-.-˥	dr-j-u-.-X
^ţĭu˥	^ţ-ĭ-u-.-˥	tr-j-u-.-X
^lĭəu˥	^l-ĭ-əu-.-˥	l-j-uw-.-X
^lĭĕt	^l-ĭ-ĕ-t-.	l-.-i-t-.
^kən˥˩	^k-.-ə-n-˥˩	k-.-o-n-.
^kɐk	^k-.-ɐ-k-.	k-.-æ-k-.
^sɑŋ˥˩	^s-.-ɑ-ŋ-˥˩	s-.-a-ng-.
^kɐŋ˥	^k-.-ɐ-ŋ-˥	k-.-æ-ng-X
^ɖʰĭə˩˥	^ɖʰ-ĭ-ə-.-˩˥	dr-.-i-.-H
^ʑĭək	^ʑ-ĭ-ə-k-.	dzy-.-i-k-.
^ʧʰĭo˥	^ʧʰ-ĭ-o-.-˥	tsrh-j-o-.-X
^ʧʰĭo˩˥	^ʧʰ-ĭ-o-.-˩˥	tsrh-j-o-.-H
^ŋĭɐp	^ŋ-ĭ-ɐ-p-.	ng-j-æ-p-.
^gʰĭək	^gʰ-ĭ-ə-k-.	g-.-i-k-.
^ĭwɐŋ˩	^.-ĭw-ɐ-ŋ-˩	h-jw-æ-ng-.
^mu˩	^m-.-u-.-˩	m-.-u-.-.
^ɣwɐŋ˩	^ɣ-w-ɐ-ŋ-˩	h-w-æ-ng-.
^ɣwɐŋ˩˥	^ɣ-w-ɐ-ŋ-˩˥	h-w-æ-ng-H
^kĭɛm˥	^k-ĭ-ɛ-m-˥	k-j-e-m-X
^ɣam˥	^ɣ-.-a-m-˥	h-.-a-m-X
^kʰĭɐm˩˥	^kʰ-ĭ-ɐ-m-˩˥	kh-j-o-m-H
^xĭən˥˩	^x-ĭ-ə-n-˥˩	x-j-ɨ-n-.
^jĭwok	^j-ĭw-o-k-.	y-.-ow-k-.
^xĭɐt	^x-ĭ-ɐ-t-.	x-j-o-t-.
^kɑ˥˩	^k-.-ɑ-.-˥˩	k-.-a-.-.
^tɕĭə˥	^tɕ-ĭ-ə-.-˥	tsy-.-i-.-X
^tsʰĭe˥	^tsʰ-ĭ-e-.-˥	tsh-j-e-.-X
^bʰu˩˥	^bʰ-.-u-.-˩˥	b-.-u-.-H
^mĭu˥	^m-ĭ-u-.-˥	m-j-u-.-X
^liek	^l-i-e-k-.	l-.-e-k-.
^kĭwəi˥˩	^k-ĭw-əi-.-˥˩	k-jw-ɨj-.-.
^dʰien˥	^dʰ-i-e-n-˥	d-.-e-n-X
^ʑĭu˩	^ʑ-ĭ-u-.-˩	dzy-.-u-.-.
^dʰuɑn˩˥	^dʰ-u-ɑ-n-˩˥	d-w-a-n-H
^məu˥	^m-.-əu-.-˥	m-.-uw-.-X
^dʰuok	^dʰ-u-o-k-.	d-.-ow-k-.
^bʰi˩	^bʰ-.-i-.-˩	b-j-ij-.-.
^pi˥	^p-.-i-.-˥	p-.-ij-.-X
^pi˩˥	^p-.-i-.-˩˥	p-j-ij-.-H
^bʰĭĕt	^bʰ-ĭ-ĕ-t-.	b-j-?-t-.
^mɑu˩	^m-.-ɑu-.-˩	m-.-aw-.-.
^mɑu˩˥	^m-.-ɑu-.-˩˥	m-.-aw-.-H
^tsĭɛŋ˥˩	^ts-ĭ-ɛ-ŋ-˥˩	ts-j-ie-ng-.
^ɕwi˥	^ɕ-w-i-.-˥	sy-w-ij-.-X
^ĭwɐŋ˥	^.-ĭw-ɐ-ŋ-˥	h-jw-æ-ng-X
^gʰĭəu˩	^gʰ-ĭ-əu-.-˩	g-j-uw-.-.
^nʑĭo˥	^nʑ-ĭ-o-.-˥	ny-.-o-.-X
^kɔŋ˥˩	^k-.-ɔ-ŋ-˥˩	k-.-æw-ng-.
^ɖʰĭe˩	^ɖʰ-ĭ-e-.-˩	dr-j-e-.-.
^dʰɑ˩	^dʰ-.-ɑ-.-˩	d-.-a-.-.
^xiwet	^x-iw-e-t-.	x-w-e-t-.
^kiwet	^k-iw-e-t-.	k-w-e-t-.
^dʰɒp	^dʰ-.-ɒ-p-.	d-.-o-p-.
^ʃa˥˩	^ʃ-.-a-.-˥˩	sr-.-æ-.-.
^ʃa˩˥	^ʃ-.-a-.-˩˥	sr-.-æ-.-H
^pĭwəi˩˥	^p-ĭw-əi-.-˩˥	p-j-ɨj-.-H
^ɖʰi˩˥	^ɖʰ-.-i-.-˩˥	dr-.-i-.-.
^tɕĭɛu˥	^tɕ-ĭ-ɛu-.-˥	tsy-.-ew-.-X
^xĭwaŋ˩˥	^x-ĭw-a-ŋ-˩˥	x-jw-a-ng-H
^pĭwɐp	^p-ĭw-ɐ-p-.	p-j-o-p-.
^pʰĭwɐm˩˥	^pʰ-ĭw-ɐ-m-˩˥	ph-j-o-m-H
^tɕĭu˩˥	^tɕ-ĭ-u-.-˩˥	tr-j-u-.-H
^wi˥	^.-w-i-.-˥	h-w-ij-.-X
^ɣɐp	^ɣ-.-ɐ-p-.	h-.-ɛ-p-.
^lĭəu˩	^l-ĭ-əu-.-˩	l-j-uw-.-.
^ɣɑu˥	^ɣ-.-ɑu-.-˥	h-.-aw-.-X
^lɑŋ˩	^l-.-ɑ-ŋ-˩	l-.-a-ng-.
^lɑŋ˩˥	^l-.-ɑ-ŋ-˩˥	l-.-a-ng-H
^bʰĭəu˩	^bʰ-ĭ-əu-.-˩	b-j-uw-.-.
^xɒi˥	^x-.-ɒi-.-˥	x-.-oj-.-X
^jĭĕm˩	^j-ĭ-ĕ-m-˩	y-.-i-m-.
^ɕĭĕm˥˩	^ɕ-ĭ-ĕ-m-˥˩	sy-.-i-m-.
^ɕĭĕm˩˥	^ɕ-ĭ-ĕ-m-˩˥	sy-.-i-m-H
^ʔĭɛm˥˩	^ʔ-ĭ-ɛ-m-˥˩	ʔ-j-e-m-.
^ʔĭɐm˩˥	^ʔ-ĭ-ɐ-m-˩˥	ʔ-j-e-m-H
^tsien˥˩	^ts-i-e-n-˥˩	tsh-j-e-n-H
^tsʰĭɛn˥	^tsʰ-ĭ-ɛ-n-˥	tsh-j-e-n-X
^tɕĭo˥	^tɕ-ĭ-o-.-˥	tsy-.-o-.-X
^gʰĭo˩	^gʰ-ĭ-o-.-˩	g-j-o-.-.
^ʧʰĭək	^ʧʰ-ĭ-ə-k-.	tsrh-.-i-k-.
^ɣuən˩	^ɣ-u-ə-n-˩	h-w-o-n-.
^ɣuən˥	^ɣ-u-ə-n-˥	h-w-o-n-X
^tʰɑŋ˥˩	^tʰ-.-ɑ-ŋ-˥˩	th-.-a-ng-.
^tʰɑŋ˩˥	^tʰ-.-ɑ-ŋ-˩˥	th-.-a-ng-H
^tɕĭuĕn˥	^tɕ-ĭu-ĕ-n-˥	tsy-w-i-n-X
^mĭɛt	^m-ĭ-ɛ-t-.	m-j-ie-t-.
^kuət	^k-u-ə-t-.	k-w-o-t-.
^ɣuət	^ɣ-u-ə-t-.	h-w-ɛ-t-.
^ɣwæt	^ɣ-w-æ-t-.	h-.-ɛ-t-.
^ləu˩˥	^l-.-əu-.-˩˥	l-.-uw-.-H
^jĭɛn˥	^.-j-ĭɛ-n-˥	y-.-e-n-X
^tsĭɛm˥˩	^ts-ĭ-ɛ-m-˥˩	ts-j-e-m-.
^dzʰĭɛm˥	^dzʰ-ĭ-ɛ-m-˥	dz-j-e-m-X
^xuɑ˥	^x-u-ɑ-.-˥	x-w-a-.-X
^tɕĭa˩˥	^tɕ-ĭ-a-.-˩˥	tsy-.-æ-.-H
^tɕĭɛk	^tɕ-ĭ-ɛ-k-.	tsy-.-e-k-.
^ʔĭĕn˥˩	^ʔ-ĭ-ĕ-n-˥˩	ʔ-.-?-n-.
^ʔien˥˩	^ʔ-i-e-n-˥˩	ʔ-.-e-n-.
^ʔĭɐn˥˩	^ʔ-ĭ-ɐ-n-˥˩	ʔ-j-o-n-.
^ʔĭɛn˥˩	^ʔ-ĭ-ɛ-n-˥˩	ʔ-j-e-n-.
^ĭɛn˩	^.-ĭ-ɛ-n-˩	h-j-e-n-.
^nʑĭɛn˩	^nʑ-ĭ-ɛ-n-˩	ny-.-e-n-.
^tɕĭɛu˩˥	^tɕ-ĭ-ɛu-.-˩˥	tsy-.-ew-.-H
^bʰĭwɐn˩	^bʰ-ĭw-ɐ-n-˩	b-j-o-n-.
^nʑĭɛt	^nʑ-ĭ-ɛ-t-.	ny-.-e-t-.
^jĭwɛŋ˩	^j-ĭw-ɛ-ŋ-˩	y-w-e-ng-.
^ʧau˥	^ʧ-.-au-.-˥	tsr-.-æw-.-X
^ʧæŋ˥˩	^ʧ-.-æ-ŋ-˥˩	tsr-.-ɛ-ng-.
^tsĭak	^ts-ĭ-a-k-.	ts-j-a-k-.
^bʰĭu˥	^bʰ-ĭ-u-.-˥	b-j-u-.-X
^nʑĭe˥	^nʑ-ĭ-e-.-˥	ny-.-e-.-X
^dʒʰĭaŋ˩	^dʒʰ-ĭ-a-ŋ-˩	dzr-j-a-ng-.
^ŋĭəu˩	^ŋ-ĭ-əu-.-˩	ng-j-uw-.-.
^dʰək	^dʰ-.-ə-k-.	d-.-o-k-.
^kʰien˥˩	^kʰ-.-ie-n-˥˩	kh-.-e-n-.
^kʰien˩˥	^kʰ-.-ie-n-˩˥	kh-.-e-n-H
^kæi˩˥	^k-.-æi-.-˩˥	k-.-æj-.-H
^gʰĭwaŋ˩	^gʰ-ĭw-a-ŋ-˩	g-jw-a-ng-.
^gʰĭwaŋ˩˥	^gʰ-ĭw-a-ŋ-˩˥	g-jw-a-ng-H
^dʰiek	^dʰ-i-e-k-.	d-.-e-k-.
^kiwek	^k-iw-e-k-.	k-w-e-k-.
^xiwek	^x-iw-e-k-.	x-w-e-k-.
^ɣap	^ɣ-.-a-p-.	h-.-æ-p-.
^ɣwæk	^ɣ-w-æ-k-.	h-w-ea-k-.
^ŋĭwok	^ŋ-ĭw-o-k-.	ng-j-ow-k-.
^ĭwaŋ˩	^.-ĭw-a-ŋ-˩	h-jw-a-ng-.
^ĭwaŋ˩˥	^.-ĭw-a-ŋ-˩˥	h-jw-a-ng-H
^ŋuɑn˩˥	^ŋ-u-ɑ-n-˩˥	ng-w-a-n-H
^ţĭĕn˥˩	^ţ-ĭ-ĕ-n-˥˩	tr-.-i-n-.
^lĭə˥	^l-ĭ-ə-.-˥	l-.-i-.-X
^ʃĭet	^ʃ-ĭ-e-t-.	sr-.-i-t-.
^ŋwa˥	^ŋ-w-a-.-˥	ng-w-æ-.-X
^ŋwa˩˥	^ŋ-w-a-.-˩˥	ng-w-æ-.-H
^tsĭəŋ˩˥	^ts-ĭ-ə-ŋ-˩˥	ts-.-i-ng-H
^kɑm˥˩	^k-.-ɑ-m-˥˩	k-.-a-m-.
^ʑĭĕm˥	^ʑ-ĭ-ĕ-m-˥	dzy-.-i-m-X
^ʑĭĕm˩˥	^ʑ-ĭ-ĕ-m-˩˥	dzy-.-i-m-H
^ʃɐŋ˩˥	^ʃ-.-ɐ-ŋ-˩˥	sr-j-æ-ng-.
^jĭwoŋ˩˥	^j-ĭw-o-ŋ-˩˥	y-.-ow-ng-H
^jĭəu˩	^j-ĭ-əu-.-˩	y-.-uw-.-.
^kap	^k-.-a-p-.	k-.-æ-p-.
^ʔĭwəi˩˥	^ʔ-ĭw-əi-.-˩˥	ʔ-jw-ɨj-.-H
^lĭak	^l-ĭ-a-k-.	l-j-a-k-.
^tɑŋ˥˩	^t-.-ɑ-ŋ-˥˩	t-.-a-ng-.
^tɑŋ˩˥	^t-.-ɑ-ŋ-˩˥	t-.-a-ng-H
^ʃĭo˥˩	^ʃ-ĭ-o-.-˥˩	sr-j-o-.-.
^ŋa˥	^ŋ-.-a-.-˥	ng-.-æ-.-X
^ŋĭə˩	^ŋ-ĭ-ə-.-˩	ng-.-i-.-.
^dzʰĭĕt	^dzʰ-ĭ-ĕ-t-.	dz-.-i-t-.
^bʰĭɐŋ˩˥	^bʰ-ĭ-ɐ-ŋ-˩˥	b-j-æ-ng-H
^kwi˥	^k-w-i-.-˥	k-w-ij-.-X
^pĭwɐt	^p-ĭw-ɐ-t-.	p-j-o-t-.
^bʰɐk	^bʰ-.-ɐ-k-.	b-.-æ-k-.
^kɐi˥˩	^k-.-ɐi-.-˥˩	k-.-ɛj-.-.
^bʰĭe˩	^bʰ-ĭ-e-.-˩	b-j-e-.-.
^ʔĭɛk	^ʔ-ĭ-ɛ-k-.	ʔ-ji-e-k-.
^ɣɑp	^ɣ-.-ɑ-p-.	h-.-a-p-.
^ʑĭɛŋ˩˥	^ʑ-ĭ-ɛ-ŋ-˩˥	dzy-.-e-ng-H
^dzʰĭĕn˥	^dzʰ-ĭ-ĕ-n-˥	dz-.-i-n-X
^tsĭĕn˥	^ts-ĭ-ĕ-n-˥	ts-.-i-n-X
^kam˥˩	^k-.-a-m-˥˩	k-.-æ-m-.
^mĭuk	^m-ĭ-u-k-.	m-j-uw-k-.
^mɐŋ˩	^m-.-ɐ-ŋ-˩	m-.-æ-ng-.
^ɖʰĭək	^ɖʰ-ĭ-ə-k-.	dr-.-i-k-.
^sĭaŋ˥˩	^s-ĭ-a-ŋ-˥˩	s-j-a-ng-.
^sĭaŋ˩˥	^s-ĭ-a-ŋ-˩˥	s-j-a-ng-H
^mi˩	^m-.-i-.-˩	m-.-ij-.-.
^ɕi˥	^ɕ-.-i-.-˥	sy-.-ij-.-X
^ţĭe˥˩	^ţ-ĭ-e-.-˥˩	tr-j-e-.-.
^ʑĭɛk	^ʑ-ĭ-ɛ-k-.	dzy-.-e-k-.
^ŋien˩˥	^ŋ-.-ie-n-˩˥	ng-.-e-n-.
^tsu˥	^ts-.-u-.-˥	ts-.-u-.-X
^dʑʰĭĕn˩	^dʑʰ-ĭ-ĕ-n-˩	zy-.-i-n-.
^zĭaŋ˩	^z-ĭ-a-ŋ-˩	z-j-a-ng-.
^tsĭɛi˩˥	^ts-ĭ-ɛi-.-˩˥	ts-j-ej-.-H
^ʧɐi˩˥	^ʧ-.-ɐi-.-˩˥	tsr-.-eaj-.-H
^kĭĕm˩˥	^k-ĭ-ĕ-m-˩˥	k-.-i-m-H
^pĭuk	^p-ĭ-u-k-.	p-j-uw-k-.
^dʰɒm˥	^dʰ-.-ɒ-m-˥	d-.-o-m-X
^liei˥	^l-i-ei-.-˥	l-.-ej-.-X
^si˥˩	^s-.-i-.-˥˩	s-.-ij-.-.
^tsʰĭəu˥˩	^tsʰ-ĭ-əu-.-˥˩	tsh-j-uw-.-.
^dzʰĭĕn˩	^dzʰ-ĭ-ĕ-n-˩	dz-.-i-n-.
^jĭe˩	^j-ĭ-e-.-˩	y-.-e-.-.
^ɕĭwɛi˩˥	^ɕ-ĭw-ɛi-.-˩˥	sy-w-ej-.-H
^kiei˥˩	^k-i-ei-.-˥˩	k-.-ej-.-.
^kʰiei˥	^kʰ-i-ei-.-˥	kh-.-ej-.-X
^tsĭe˩˥	^ts-ĭ-e-.-˩˥	ts-j-e-.-H
^ʔĭwɐi˩˥	^ʔ-ĭw-ɐi-.-˩˥	ʔ-jw-oj-.-H
^ɣiwet	^ɣ-iw-e-t-.	h-w-e-t-.
^kʰuŋ˥˩	^kʰ-.-u-ŋ-˥˩	kh-.-uw-ng-.
^kʰuŋ˩˥	^kʰ-.-u-ŋ-˩˥	kh-.-uw-ng-X
^kʰĭwe˥˩	^kʰ-ĭw-e-.-˥˩	kh-jw-ie-.-.
^lĭĕp	^l-ĭ-ĕ-p-.	l-.-i-p-.
^tɕĭaŋ˥˩	^tɕ-ĭ-a-ŋ-˥˩	tsy-.-a-ng-.
^gʰĭɐt	^gʰ-ĭ-ɐ-t-.	g-j-o-t-.
^gʰĭɛt	^gʰ-ĭ-ɛ-t-.	g-j-e-t-.
^tuɑn˥˩	^t-u-ɑ-n-˥˩	t-w-a-n-.
^ţĭuk	^ţ-ĭ-u-k-.	tr-j-uw-k-.
^kɑn˥	^k-.-ɑ-n-˥	k-.-a-n-X
^kɑ˥	^k-.-ɑ-.-˥	k-.-a-.-X
^tɒi˥	^t-.-ɒi-.-˥	t-.-oj-.-X
^təŋ˥	^t-.-ə-ŋ-˥	t-.-o-ng-X
^ĭwĕn˩	^.-ĭw-ĕ-n-˩	h-w-i-n-.
^kuɑn˥	^k-u-ɑ-n-˥	k-w-a-n-X
^tsĭɛn˩˥	^ts-ĭ-ɛ-n-˩˥	ts-j-e-n-H
^tuok	^t-u-o-k-.	t-.-ow-k-.
^dʰiem˥	^dʰ-i-e-m-˥	d-.-e-m-X
^ʧĭĕm˥˩	^ʧ-ĭ-ĕ-m-˥˩	tsr-.-i-m-.
^tsɒm˥˩	^ts-.-ɒ-m-˥˩	ts-.-o-m-.
^miei˥	^m-i-ei-.-˥	m-.-ej-.-X
^pĭuən˥	^p-ĭu-ə-n-˥	p-j-u-n-X
^kiəu˥	^k-i-əu-.-˥	k-j-iw-.-X
^ʔĭɛu˩˥	^ʔ-ĭ-ɛu-.-˩˥	ʔ-ji-ew-.-H
^ʔĭak	^ʔ-ĭ-a-k-.	ʔ-j-a-k-.
^ɣuŋ˩	^ɣ-.-u-ŋ-˩	h-.-uw-ng-.
^ʔĭu˥˩	^ʔ-ĭ-u-.-˥˩	ʔ-j-u-.-.
^tɕĭe˥	^tɕ-ĭ-e-.-˥	tsy-.-e-.-X
^su˩˥	^s-.-u-.-˩˥	s-.-u-.-H
^lĭwe˥	^l-ĭw-e-.-˥	l-jw-e-.-X
^lĭwe˩˥	^l-ĭw-e-.-˩˥	l-jw-e-.-H
^tɕĭuŋ˥˩	^tɕ-ĭ-u-ŋ-˥˩	tsy-.-uw-ng-.
^kiet	^k-i-e-t-.	k-.-e-t-.
^dzʰĭwɛt	^dzʰ-ĭw-ɛ-t-.	dz-jw-e-t-.
^kau˥	^k-.-au-.-˥	k-.-æw-.-X
^swi˥˩	^s-w-i-.-˥˩	s-w-ij-.-.
^kieŋ˥˩	^k-i-e-ŋ-˥˩	k-.-e-ng-.
^tsuoŋ˩˥	^ts-u-o-ŋ-˩˥	ts-.-ow-ng-H
^ĭwi˩	^.-ĭw-i-.-˩	y-w-ij-.-.
^kwæn˥˩	^k-w-æ-n-˥˩	k-w-ea-n-.
^kʰĭe˥	^kʰ-ĭ-e-.-˥	kh-j-e-.-X
^ɣuɑn˥	^ɣ-u-ɑ-n-˥	h-w-a-n-X
^lien˩˥	^l-.-ie-n-˩˥	l-.-e-n-H
^bʰuɑ˩˥	^bʰ-u-ɑ-.-˩˥	b-.-a-.-H
^bʰĭwak	^bʰ-ĭw-a-k-.	b-j-a-k-.
^ɣiwen˩	^ɣ-iw-e-n-˩	h-w-e-n-.
^ɣiwen˩˥	^ɣ-iw-e-n-˩˥	h-w-e-n-H
^lĭu˥	^l-ĭ-u-.-˥	l-j-u-.-X
^tsuɑn˥	^ts-u-ɑ-n-˥	ts-w-a-n-X
^mĭwaŋ˥	^m-ĭw-a-ŋ-˥	m-j-a-ng-X
^dzʰuɒi˥	^dzʰ-u-ɒi-.-˥	dz-w-oj-.-X
^ţĭə˩˥	^ţ-ĭ-ə-.-˩˥	tr-.-i-.-H
^ʑĭo˩˥	^ʑ-ĭ-o-.-˩˥	dzy-.-o-.-H
^ma˥	^m-.-a-.-˥	m-.-æ-.-X
^ma˩˥	^m-.-a-.-˩˥	m-.-æ-.-H
^jĭaŋ˩	^j-ĭ-a-ŋ-˩	y-.-a-ng-.
^kʰĭaŋ˥˩	^kʰ-ĭ-a-ŋ-˥˩	kh-j-a-ng-.
^mi˥	^m-.-i-.-˥	m-.-ij-.-X
^ŋĭe˩˥	^ŋ-ĭ-e-.-˩˥	ng-j-e-.-H
^xĭe˥˩	^x-ĭ-e-.-˥˩	x-j-e-.-.
^ĭu˥	^.-ĭ-u-.-˥	h-j-u-.-X
^ĭu˩˥	^.-ĭ-u-.-˩˥	h-j-u-.-H
^tsĭɛn˥	^ts-ĭ-ɛ-n-˥	ts-j-e-n-X
^lɑu˥	^l-.-ɑu-.-˥	l-.-aw-.-X
^tɕĭa˥	^tɕ-ĭ-a-.-˥	tsy-.-æ-.-X
^nʑĭə˩	^nʑ-ĭ-ə-.-˩	ny-.-i-.-.
^nɒi˩˥	^n-.-ɒi-.-˩˥	n-.-oj-.-H
^kæŋ˥˩	^k-.-æ-ŋ-˥˩	k-.-ea-ng-.
^nʑĭə˥	^nʑ-ĭ-ə-.-˥	ny-.-i-.-X
^kæŋ˥	^k-.-æ-ŋ-˥	k-.-ea-ng-X
^lieu˩	^l-i-eu-.-˩	l-.-ew-.-.
^tɕĭək	^tɕ-ĭ-ə-k-.	tsy-.-i-k-.
^jĭuĕt	^j-ĭu-ĕ-t-.	y-w-i-t-.
^ki˥˩	^k-.-i-.-˥˩	k-.-ij-.-.
^sĭɛu˩˥	^s-ĭ-ɛu-.-˩˥	s-j-ew-.-H
^kuəŋ˥˩	^k-u-ə-ŋ-˥˩	k-w-o-ng-.
^ɣau˩	^ɣ-.-au-.-˩	h-.-æw-.-.
^pʰĭwɐi˩˥	^pʰ-ĭw-ɐi-.-˩˥	ph-j-oj-.-H
^ĭwəi˩˥	^.-ĭw-əi-.-˩˥	h-jw-ɨj-.-H
^tɕi˥˩	^tɕ-.-i-.-˥˩	tsy-.-ij-.-.
^dʑʰĭuĕn˩	^dʑʰ-ĭu-ĕ-n-˩	zy-w-i-n-.
^ʑĭĕn˥	^ʑ-ĭ-ĕ-n-˥	dzy-.-i-n-X
^ʔĭəŋ˥˩	^ʔ-ĭ-ə-ŋ-˥˩	ʔ-.-i-ng-.
^lɑp	^l-.-ɑ-p-.	l-.-a-p-.
^ʑĭĕn˩	^ʑ-ĭ-ĕ-n-˩	dzy-.-i-n-.
^ŋuɑ˩˥	^ŋ-u-ɑ-.-˩˥	ng-w-a-.-H
^tsɑŋ˥˩	^ts-.-ɑ-ŋ-˥˩	ts-.-a-ng-.
^dzʰi˩˥	^dzʰ-.-i-.-˩˥	dz-.-ij-.-H
^tɕi˩˥	^tɕ-.-i-.-˩˥	tsy-.-ij-.-H
^gʰĭəu˥	^gʰ-ĭ-əu-.-˥	g-j-uw-.-X
^jĭo˥	^j-ĭ-o-.-˥	y-.-o-.-X
^jĭo˩˥	^j-ĭ-o-.-˩˥	y-.-o-.-H
^xĭəŋ˥˩	^x-ĭ-ə-ŋ-˥˩	x-.-i-ng-.
^xĭəŋ˩˥	^x-ĭ-ə-ŋ-˩˥	x-.-i-ng-H
^kĭo˥	^k-ĭ-o-.-˥	k-j-o-.-X
