ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
764	1 shang	麤 (shang)	Baxter	tsh w	382		?	tsh w
765	1 xia	丈 (xia)	Zhou	ĭ a ŋ ˥	383		?	ĭ a ŋ ˥
766	1 xia	丈 (xia)	Baxter	j a ng X	383		?	j a ng X
767	1 xia	中 (xia)	Zhou	ĭ u ŋ ˩	384		?	ĭ u ŋ ˩
768	1 xia	中 (xia)	Baxter	j uw ng .	384		?	j uw ng .
769	1 xia	乙 (xia)	Zhou	ĭ ĕ t .	385		?	ĭ ĕ t .
770	1 xia	乙 (xia)	Baxter	. i t .	385		?	. i t .
771	1 xia	亂 (xia)	Zhou	u ɑ n ˩˥	386		?	u ɑ n ˩˥
772	1 xia	亂 (xia)	Baxter	w a n H	386		?	w a n H
773	1 xia	了 (xia)	Zhou	i eu . ˥	387		?	i eu . ˥
774	1 xia	了 (xia)	Baxter	. ew . X	387		?	. ew . X
775	1 xia	于 (xia)	Zhou	ĭ u . ˥˩	388		?	ĭ u . ˥˩
776	1 xia	于 (xia)	Baxter	j u . .	388		?	j u . .
777	1 xia	云 (xia)	Zhou	ĭu ə n ˥˩	389		?	ĭu ə n ˥˩
778	1 xia	云 (xia)	Baxter	j u n .	389		?	j u n .
779	1 xia	井 (xia)	Zhou	ĭ ɛ ŋ ˥	390		?	ĭ ɛ ŋ ˥
780	1 xia	井 (xia)	Baxter	j e ng X	390		?	j e ng X
781	1 xia	亞 (xia)	Zhou	. a . ˩˥	391		?	. a . ˩˥
782	1 xia	亞 (xia)	Baxter	. æ . H	391		?	. æ . H
783	1 xia	亦 (xia)	Zhou	ĭ ɛ k .	392		?	ĭ ɛ k .
784	1 xia	亦 (xia)	Baxter	. e k .	392		?	. e k .
785	1 xia	今 (xia)	Zhou	ĭ ĕ m ˩	393		?	ĭ ĕ m ˩
786	1 xia	今 (xia)	Baxter	. i m .	393		?	. i m .
787	1 xia	介 (xia)	Zhou	. ɐi . ˩˥	394		?	. ɐi . ˩˥
788	1 xia	介 (xia)	Baxter	. ɛj . H	394		?	. ɛj . H
789	1 xia	但 (xia)	Zhou	. ɑ n ˥	395		?	. ɑ n ˥
790	1 xia	但 (xia)	Baxter	. a n X	395		?	. a n X
791	1 xia	低 (xia)	Zhou	i ei . ˩	396		?	i ei . ˩
792	1 xia	低 (xia)	Baxter	. ej . H	396		?	. ej . H
793	1 xia	余 (xia)	Zhou	ĭ o . ˥˩	397		?	ĭ o . ˥˩
794	1 xia	余 (xia)	Baxter	. o . .	397		?	. o . .
795	1 xia	佳 (xia)	Zhou	. ai . ˩	398		?	. ai . ˩
796	1 xia	佳 (xia)	Baxter	. ɛj . .	398		?	. ɛj . .
797	1 xia	來 (xia)	Zhou	. ɒi . ˩	399		?	. ɒi . ˩
798	1 xia	來 (xia)	Baxter	. oj . .	399		?	. oj . .
799	1 xia	依 (xia)	Zhou	ĭ əi . ˥˩	400		?	ĭ əi . ˥˩
800	1 xia	依 (xia)	Baxter	j ɨj . .	400		?	j ɨj . .
801	1 xia	倚 (xia)	Zhou	ĭ e . ˥	401		?	ĭ e . ˥
802	1 xia	倚 (xia)	Baxter	j ɨj . X	401		?	j ɨj . X
803	1 xia	偃 (xia)	Zhou	ĭ ɐ n ˥	402		?	ĭ ɐ n ˥
804	1 xia	偃 (xia)	Baxter	j o n X	402		?	j o n X
805	1 xia	元 (xia)	Zhou	. ɐ n ˩	403		?	. ɐ n ˩
806	1 xia	元 (xia)	Baxter	jw o n .	403		?	jw o n .
807	1 xia	免 (xia)	Zhou	ĭ ɛ n ˥	404		?	ĭ ɛ n ˥
808	1 xia	免 (xia)	Baxter	. ɛ n X	404		?	. ɛ n X
809	1 xia	内 (xia)	Zhou	u ɒi . ˩˥	405		?	u ɒi . ˩˥
810	1 xia	内 (xia)	Baxter	w oj . H	405		?	w oj . H
811	1 xia	冶 (xia)	Zhou	ĭ a . ˥	406		?	ĭ a . ˥
812	1 xia	冶 (xia)	Baxter	j æ . X	406		?	j æ . X
813	1 xia	凶 (xia)	Zhou	ĭw o ŋ ˥˩	407		?	ĭw o ŋ ˥˩
814	1 xia	凶 (xia)	Baxter	j ow ng .	407		?	j ow ng .
815	1 xia	刮 (xia)	Zhou	w a t .	408		?	w a t .
816	1 xia	刮 (xia)	Baxter	w æ t .	408		?	w æ t .
817	1 xia	制 (xia)	Zhou	ĭ ɛi . ˩˥	409		?	ĭ ɛi . ˩˥
818	1 xia	制 (xia)	Baxter	j ej . H	409		?	j ej . H
819	1 xia	剛 (xia)	Zhou	. ɑ ŋ ˩	410		?	. ɑ ŋ ˩
820	1 xia	剛 (xia)	Baxter	. a ng .	410		?	. a ng .
821	1 xia	劣 (xia)	Zhou	ĭw ɛ t .	411		?	ĭw ɛ t .
822	1 xia	劣 (xia)	Baxter	w æ t .	411		?	w æ t .
823	1 xia	勃 (xia)	Zhou	u ə t .	412		?	u ə t .
824	1 xia	勃 (xia)	Baxter	w o t .	412		?	w o t .
825	1 xia	勺 (xia)	Zhou	ĭ a k .	413		?	ĭ a k .
826	1 xia	勺 (xia)	Baxter	j a k .	413		?	j a k .
827	1 xia	勻 (xia)	Zhou	ĭu ĕ n ˥˩	414		?	ĭu ĕ n ˥˩
828	1 xia	勻 (xia)	Baxter	jw i n .	414		?	jw i n .
829	1 xia	占 (xia)	Zhou	ĭ ɛ m ˩˥	415		?	ĭ ɛ m ˩˥
830	1 xia	占 (xia)	Baxter	j e m H	415		?	j e m H
831	1 xia	卦 (xia)	Zhou	w ai . ˩˥	416		?	w ai . ˩˥
832	1 xia	卦 (xia)	Baxter	. ɛ . H	416		?	. ɛ . H
833	1 xia	危 (xia)	Zhou	ĭw e . ˥˩	417		?	ĭw e . ˥˩
834	1 xia	危 (xia)	Baxter	jw e . .	417		?	jw e . .
835	1 xia	及 (xia)	Zhou	ĭ ĕ p .	418		?	ĭ ĕ p .
836	1 xia	及 (xia)	Baxter	. i p .	418		?	. i p .
837	1 xia	咸 (xia)	Zhou	. ɐ m ˩	419		?	. ɐ m ˩
838	1 xia	咸 (xia)	Baxter	. ɛ m .	419		?	. ɛ m .
839	1 xia	善 (xia)	Zhou	ĭ ɛ n ˥	420		?	ĭ ɛ n ˥
840	1 xia	善 (xia)	Baxter	. e n X	420		?	. e n X
841	1 xia	嚴 (xia)	Zhou	ĭ ɐ m ˥˩	421		?	ĭ ɐ m ˥˩
842	1 xia	嚴 (xia)	Baxter	j e m .	421		?	j e m .
843	1 xia	四 (xia)	Zhou	. i . ˩˥	422		?	. i . ˩˥
844	1 xia	四 (xia)	Baxter	. ij . H	422		?	. ij . H
845	1 xia	圎 (xia)	Zhou	ĭw ɛ n ˥˩	423		?	ĭw ɛ n ˥˩
846	1 xia	圎 (xia)	Baxter	jw e n .	423		?	jw e n .
847	1 xia	埯 (xia)	Zhou	ĭ ɐ m ˥	424		?	ĭ ɐ m ˥
848	1 xia	埯 (xia)	Baxter	j æ m X	424		?	j æ m X
849	1 xia	大 (xia)	Zhou	. ɑi . ˩˥	425		?	. ɑi . ˩˥
850	1 xia	大 (xia)	Baxter	. aj . H	425		?	. aj . H
851	1 xia	夭 (xia)	Zhou	ĭ ɛu . ˥	426		?	ĭ ɛu . ˥
852	1 xia	夭 (xia)	Baxter	j ew . X	426			j ew . X
853	1 xia	奇 (xia)	Zhou	ĭ e . ˥˩	427			ĭ e . ˥˩
854	1 xia	奇 (xia)	Baxter	j e . .	427		?	j e . .
855	1 xia	奏 (xia)	Zhou	. əu . ˩˥	428		?	. əu . ˩˥
856	1 xia	奏 (xia)	Baxter	. uw . H	428		?	. uw . H
857	1 xia	奔 (xia)	Zhou	u ə n ˩	429		?	u ə n ˩
858	1 xia	奔 (xia)	Baxter	w o n .	429		?	w o n .
859	1 xia	妹 (xia)	Zhou	u ɒi ˩˥ .	430		?	u ɒi ˩˥ .
860	1 xia	妹 (xia)	Baxter	w oj . H	430		?	w oj . H
861	1 xia	姊 (xia)	Zhou	. i . ˥	431		?	. i . ˥
862	1 xia	姊 (xia)	Baxter	. ij . X	431		?	. ij . X
863	1 xia	婆 (xia)	Zhou	u ɑ . ˩	432		?	u ɑ . ˩
864	1 xia	婆 (xia)	Baxter	. a . H	432		?	. a . H
865	1 xia	婢 (xia)	Zhou	ĭ e . ˥	433		?	ĭ e . ˥
866	1 xia	婢 (xia)	Baxter	. ej . X	433		?	. ej . X
867	1 xia	孔 (xia)	Zhou	. u ŋ ˥	434		?	. u ŋ ˥
868	1 xia	孔 (xia)	Baxter	. uw ng X	434		?	. uw ng X
869	1 xia	宵 (xia)	Zhou	ĭ ɛu . ˥˩	435		?	ĭ ɛu . ˥˩
870	1 xia	宵 (xia)	Baxter	j ew . .	435		?	j ew . .
871	1 xia	專 (xia)	Zhou	ĭw ɛ n ˩	436		?	ĭw ɛ n ˩
872	1 xia	專 (xia)	Baxter	wj e n .	436		?	wj e n .
873	1 xia	尊 (xia)	Zhou	u ə n ˩	437		?	u ə n ˩
874	1 xia	尊 (xia)	Baxter	w o n .	437		?	w o n .
875	1 xia	尼 (xia)	Zhou	. i . ˩	438		?	. i . ˩
876	1 xia	尼 (xia)	Baxter	. ij . .	438		?	. ij . .
877	1 xia	川 (xia)	Zhou	ĭw ɛ n ˩	439		?	ĭw ɛ n ˩
878	1 xia	川 (xia)	Baxter	wj e n .	439		?	wj e n .
879	1 xia	州 (xia)	Zhou	ĭ əu . ˥˩	440		?	ĭ əu . ˥˩
880	1 xia	州 (xia)	Baxter	wj uw . .	440		?	wj uw . .
881	1 xia	帋 (xia)	Zhou	ĭ e . ˥	441		?	ĭ e . ˥
882	1 xia	帋 (xia)	Baxter	j e . X	441		?	j e . X
883	1 xia	廣 (xia)	Zhou	u ɑ ŋ ˥	442		?	u ɑ ŋ ˥
884	1 xia	廣 (xia)	Baxter	w a ng X	442		?	w a ng X
885	1 xia	役 (xia)	Zhou	ĭw ɛ k .	443		?	ĭw ɛ k .
886	1 xia	役 (xia)	Baxter	j æ k .	443			j æ k .
887	1 xia	往 (xia)	Zhou	ĭw a ŋ ˥	444		?	ĭw a ŋ ˥
888	1 xia	往 (xia)	Baxter	jw a ng X	444		?	jw a ng X
889	1 xia	忝 (xia)	Zhou	i e m ˥	445		?	i e m ˥
890	1 xia	忝 (xia)	Baxter	. e m X	445		?	. e m X
891	1 xia	急 (xia)	Zhou	ĭ ĕ p .	446		?	ĭ ĕ p .
892	1 xia	急 (xia)	Baxter	. i p .	446		?	. i p .
893	1 xia	恚 (xia)	Zhou	ĭw e . ˩˥	447		?	ĭw e . ˩˥
894	1 xia	恚 (xia)	Baxter	jw e . H	447		?	jw e . H
895	1 xia	恭 (xia)	Zhou	ĭw o ŋ ˥˩	448		?	ĭw o ŋ ˥˩
896	1 xia	恭 (xia)	Baxter	j ow ng .	448		?	j ow ng .
897	1 xia	慮 (xia)	Zhou	ĭ o . ˩˥	449		?	ĭ o . ˩˥
898	1 xia	慮 (xia)	Baxter	j o . H	449		?	j o . H
899	1 xia	懺 (xia)	Zhou	. a m ˩˥	450		?	. a m ˩˥
900	1 xia	懺 (xia)	Baxter	. æ m H	450		?	. æ m H
901	1 xia	成 (xia)	Zhou	ĭ ɛ ŋ ˩	451		?	ĭ ɛ ŋ ˩
902	1 xia	成 (xia)	Baxter	j e ng .	451		?	j e ng .
903	1 xia	扃 (xia)	Zhou	iw e ŋ ˩	452		?	iw e ŋ ˩
904	1 xia	扃 (xia)	Baxter	jw e ng .	452		?	jw e ng .
905	1 xia	抱 (xia)	Zhou	. ɑu ˥ .	453		?	. ɑu ˥ .
906	1 xia	抱 (xia)	Baxter	. aw . X	453		?	. aw . X
907	1 xia	招 (xia)	Zhou	ĭ ɛu . ˥˩	454		?	ĭ ɛu . ˥˩
908	1 xia	招 (xia)	Baxter	j ew . .	454		?	j ew . .
909	1 xia	持 (xia)	Zhou	ĭ ə . ˥˩	455		?	ĭ ə . ˥˩
910	1 xia	持 (xia)	Baxter	. i . .	455		?	. i . .
911	1 xia	掌 (xia)	Zhou	ĭ a ŋ ˥	456		?	ĭ a ŋ ˥
912	1 xia	掌 (xia)	Baxter	j a ng X	456		?	j a ng X
913	1 xia	接 (xia)	Zhou	ĭ ɛ p .	457		?	ĭ ɛ p .
914	1 xia	接 (xia)	Baxter	j e p .	457		?	j e p .
915	1 xia	損 (xia)	Zhou	u ə n ˥	458		?	u ə n ˥
916	1 xia	損 (xia)	Baxter	w o n X	458		?	w o n X
917	1 xia	攣 (xia)	Zhou	ĭw ɛ n ˩	459		?	ĭw ɛ n ˩
918	1 xia	攣 (xia)	Baxter	jw e n H	459		?	jw e n H
919	1 xia	敏 (xia)	Zhou	ĭw ĕ n ˥	460		?	ĭw ĕ n ˥
920	1 xia	敏 (xia)	Baxter	w i n X	460		?	w i n X
921	1 xia	敢 (xia)	Zhou	. ɑ m ˥	461		?	. ɑ m ˥
922	1 xia	敢 (xia)	Baxter	. a m X	461		?	. a m X
923	1 xia	斂 (xia)	Zhou	ĭ ɛ m ˥	462		?	ĭ ɛ m ˥
924	1 xia	斂 (xia)	Baxter	j æ m X	462		?	j æ m X
925	1 xia	早 (xia)	Zhou	. ɑu . ˥	463		?	. ɑu . ˥
926	1 xia	早 (xia)	Baxter	. aw . X	463		?	. aw . X
927	1 xia	昭 (xia)	Zhou	ĭ ɛu . ˩	464		?	ĭ ɛu . ˩
928	1 xia	昭 (xia)	Baxter	j ew . .	464		?	j ew . .
929	1 xia	是 (xia)	Zhou	ĭ e . ˥	465		?	ĭ e . ˥
930	1 xia	是 (xia)	Baxter	j e . X	465		?	j e . X
931	1 xia	晈 (xia)	Zhou	i eu . ˥	466		?	i eu . ˥
932	1 xia	晈 (xia)	Baxter	. ew . X	466		+++?	. ew . X
933	1 xia	景 (xia)	Zhou	ĭ ɐ ŋ ˥	467		?	ĭ ɐ ŋ ˥
934	1 xia	景 (xia)	Baxter	j e ng X	467		?	j e ng X
935	1 xia	曷 (xia)	Zhou	. ɑ t .	468		?	. ɑ t .
936	1 xia	曷 (xia)	Baxter	. a t .	468		?	. a t .
937	1 xia	朋 (xia)	Zhou	. ə ŋ ˥˩	469		?	. ə ŋ ˥˩
938	1 xia	朋 (xia)	Baxter	. o ng H	469		?	. o ng H
939	1 xia	杯 (xia)	Zhou	u ɒi . ˩	470		?	u ɒi . ˩
940	1 xia	杯 (xia)	Baxter	w oj . .	470		?	w oj . .
941	1 xia	板 (xia)	Zhou	. a n ˥	471		?	. a n ˥
942	1 xia	板 (xia)	Baxter	. æ n X	471		?	. æ n X
943	1 xia	柳 (xia)	Zhou	ĭ əu . ˥	472		?	ĭ əu . ˥
944	1 xia	柳 (xia)	Baxter	j uw . X	472		?	j uw . X
945	1 xia	栗 (xia)	Zhou	ĭ ĕ t .	473		?	ĭ ĕ t .
946	1 xia	栗 (xia)	Baxter	. i t .	473		?	. i t .
947	1 xia	栝 (xia)	Zhou	u ɑ t .	474		?	u ɑ t .
948	1 xia	栝 (xia)	Baxter	w a t .	474		?	w a t .
949	1 xia	根 (xia)	Zhou	. ə n ˩	475		?	. ə n ˩
950	1 xia	根 (xia)	Baxter	. e n .	475		?	. e n .
951	1 xia	棱 (xia)	Zhou	. ə ŋ ˩	476		?	. ə ŋ ˩
952	1 xia	棱 (xia)	Baxter	. o ng .	476		?	. o ng .
953	1 xia	業 (xia)	Zhou	ĭ ɐ p .	477		?	ĭ ɐ p .
954	1 xia	業 (xia)	Baxter	j æ p .	477		?	j æ p .
955	1 xia	榮 (xia)	Zhou	ĭw ɐ ŋ ˥˩	478		?	ĭw ɐ ŋ ˥˩
956	1 xia	榮 (xia)	Baxter	jw æ ng .	478		?	jw æ ng .
957	1 xia	權 (xia)	Zhou	ĭw ɛ n ˩	479		?	ĭw ɛ n ˩
958	1 xia	權 (xia)	Baxter	jw e n .	479		?	jw e n .
959	1 xia	欠 (xia)	Zhou	ĭ ɐ m ˩˥	480		?	ĭ ɐ m ˩˥
960	1 xia	欠 (xia)	Baxter	j æ m .	480		?	j æ m .
961	1 xia	歳 (xia)	Zhou	ĭw ɛi . ˩˥	481		?	ĭw ɛi . ˩˥
962	1 xia	歳 (xia)	Baxter	jw ej . H	481		?	jw ej . H
963	1 xia	歸 (xia)	Zhou	ĭw əi . ˥˩	482		?	ĭw əi . ˥˩
964	1 xia	歸 (xia)	Baxter	jw ɨj . .	482		?	jw ɨj . .
965	1 xia	毛 (xia)	Zhou	. ɑu . ˥˩	483		?	. ɑu . ˥˩
966	1 xia	毛 (xia)	Baxter	. aw . .	483		?	. aw . .
967	1 xia	水 (xia)	Zhou	w i . ˥	484		?	w i . ˥
968	1 xia	水 (xia)	Baxter	w ij . X	484		?	w ij . X
969	1 xia	沒 (xia)	Zhou	u ə t .	485		?	u ə t .
970	1 xia	沒 (xia)	Baxter	w o t .	485		?	w o t .
971	1 xia	泫 (xia)	Zhou	iw e n ˥	486		?	iw e n ˥
972	1 xia	泫 (xia)	Baxter	w e n X	486		?	w e n X
973	1 xia	活 (xia)	Zhou	u ɑ t .	487		?	u ɑ t .
974	1 xia	活 (xia)	Baxter	w a t .	487		?	w a t .
975	1 xia	消 (xia)	Zhou	ĭ ɛu . ˥˩	488		?	ĭ ɛu . ˥˩
976	1 xia	消 (xia)	Baxter	j ew . .	488		?	j ew . .
977	1 xia	淫 (xia)	Zhou	ĭ ĕ m .	489		?	ĭ ĕ m .
978	1 xia	淫 (xia)	Baxter	j i m .	489		?	j i m .
979	1 xia	淹 (xia)	Zhou	ĭ ɛ m ˩	490		?	ĭ ɛ m ˩
980	1 xia	淹 (xia)	Baxter	j e m .	490		?	j e m .
981	1 xia	激 (xia)	Zhou	i e k .	491		?	i e k .
982	1 xia	激 (xia)	Baxter	. e k .	491		?	. e k .
983	1 xia	灰 (xia)	Zhou	u ɒi . ˩	492		?	u ɒi . ˩
984	1 xia	灰 (xia)	Baxter	w oj . .	492		?	w oj . .
985	1 xia	炙 (xia)	Zhou	ĭ ɛ k .	493		?	ĭ ɛ k .
986	1 xia	炙 (xia)	Baxter	. e k .	493		?	. e k .
987	1 xia	烋 (xia)	Zhou	i əu . ˥˩	494		?	i əu . ˥˩
988	1 xia	烋 (xia)	Baxter	j iw . .	494		?	j iw . .
989	1 xia	煩 (xia)	Zhou	ĭw ɐ n ˥˩	495		?	ĭw ɐ n ˥˩
990	1 xia	煩 (xia)	Baxter	j o n .	495		?	j o n .
991	1 xia	熱 (xia)	Zhou	ĭ ɛ t .	496		?	ĭ ɛ t .
992	1 xia	熱 (xia)	Baxter	j e t .	496		?	j e t .
993	1 xia	物 (xia)	Zhou	ĭu ə t .	497		?	ĭu ə t .
994	1 xia	物 (xia)	Baxter	w o t .	497		?	w o t .
995	1 xia	犗 (xia)	Zhou	. æi . ˩˥	498		?	. æi . ˩˥
996	1 xia	犗 (xia)	Baxter	. æj . H	498		?	. æj . H
997	1 xia	狄 (xia)	Zhou	i e k .	499		?	i e k .
998	1 xia	狄 (xia)	Baxter	. e k .	499		?	. e k .
999	1 xia	班 (xia)	Zhou	. a n ˥˩	500		?	. a n ˥˩
1000	1 xia	班 (xia)	Baxter	. æ n .	500		?	. æ n .
1001	1 xia	畎 (xia)	Zhou	iw e n ˥	501		?	iw e n ˥
1002	1 xia	畎 (xia)	Baxter	w e n X	501		?	w e n X
1003	1 xia	畢 (xia)	Zhou	ĭ ĕ t .	502		?	ĭ ĕ t .
1004	1 xia	畢 (xia)	Baxter	j i t .	502		?	j i t .
1005	1 xia	登 (xia)	Zhou	. ə ŋ ˩	503		?	. ə ŋ ˩
1006	1 xia	登 (xia)	Baxter	. o ng X	503		?	. o ng X
1007	1 xia	發 (xia)	Zhou	ĭw ɐ t .	504		?	ĭw ɐ t .
1008	1 xia	發 (xia)	Baxter	j o t .	504		?	j o t .
1009	1 xia	皆 (xia)	Zhou	. ɐi . ˩	505		?	. ɐi . ˩
1010	1 xia	皆 (xia)	Baxter	. ɛj . X	505		?	. ɛj . X
1011	1 xia	皛 (xia)	Zhou	i eu . ˥	506		?	i eu . ˥
1012	1 xia	皛 (xia)	Baxter	. ew . .	506		?	. ew . .
1013	1 xia	知 (xia)	Zhou	ĭ e . ˥˩	507		?	ĭ e . ˥˩
1014	1 xia	知 (xia)	Baxter	j e . .	507		?	j e . .
1015	1 xia	祭 (xia)	Zhou	ĭ ɛi . ˩˥	508		?	ĭ ɛi . ˩˥
1016	1 xia	祭 (xia)	Baxter	j ej . H	508		?	j ej . H
1017	1 xia	秋 (xia)	Zhou	ĭ əu . ˩	509		?	ĭ əu . ˩
1018	1 xia	秋 (xia)	Baxter	j uw . .	509		?	j uw . .
1019	1 xia	稅 (xia)	Zhou	ĭw ɛi . ˩˥	510		?	ĭw ɛi . ˩˥
1020	1 xia	稅 (xia)	Baxter	jw ej . H	510		?	jw ej . H
1021	1 xia	稽 (xia)	Zhou	i ei . ˥˩	511		?	i ei . ˥˩
1022	1 xia	稽 (xia)	Baxter	. ej . .	511		?	. ej . .
1023	1 xia	穢 (xia)	Zhou	ĭw ɐi . ˩˥	512		?	ĭw ɐi . ˩˥
1024	1 xia	穢 (xia)	Baxter	jw oj . H	512		?	jw oj . H
1025	1 xia	等 (xia)	Zhou	. ə ŋ ˥	513		?	. ə ŋ ˥
1026	1 xia	等 (xia)	Baxter	. o ng X	513		?	. o ng X
1027	1 xia	筠 (xia)	Zhou	ĭw ĕ n ˥˩	514		?	ĭw ĕ n ˥˩
1028	1 xia	筠 (xia)	Baxter	w i n .	514		?	w i n .
1029	1 xia	簪 (xia)	Zhou	ĭ ĕ m ˥˩	515		?	ĭ ĕ m ˥˩
1030	1 xia	簪 (xia)	Baxter	. i m .	515		?	. i m .
1031	1 xia	紿 (xia)	Zhou	. ɒi . ˥	516		?	. ɒi . ˥
1032	1 xia	紿 (xia)	Baxter	. oj . X	516		?	. oj . X
1033	1 xia	絹 (xia)	Zhou	ĭw ɛ n ˩˥	517		?	ĭw ɛ n ˩˥
1034	1 xia	絹 (xia)	Baxter	wj e n H	517		?	wj e n H
1035	1 xia	綸 (xia)	Zhou	ĭu ĕ n ˥˩	518		?	ĭu ĕ n ˥˩
1036	1 xia	綸 (xia)	Baxter	w i n .	518		?	w i n .
1037	1 xia	緺 (xia)	Zhou	w ai . ˥˩	519		?	w ai . ˥˩
1038	1 xia	緺 (xia)	Baxter	w ɛ . .	519		?	w ɛ . .
1039	1 xia	縣 (xia)	Zhou	iw e n ˩˥	520		?	iw e n ˩˥
1040	1 xia	縣 (xia)	Baxter	w e n H	520		?	w e n H
1041	1 xia	聿 (xia)	Zhou	ĭu ĕ t .	521		?	ĭu ĕ t .
1042	1 xia	聿 (xia)	Baxter	w o t .	521		?	w o t .
1043	1 xia	肱 (xia)	Zhou	u ə ŋ ˥˩	522		?	u ə ŋ ˥˩
1044	1 xia	肱 (xia)	Baxter	w o ng .	522		?	w o ng .
1045	1 xia	脣 (xia)	Zhou	ĭu ĕ n ˥˩	523		?	ĭu ĕ n ˥˩
1046	1 xia	脣 (xia)	Baxter	wj i n .	523		?	wj i n .
1047	1 xia	臻 (xia)	Zhou	ĭ e n ˥˩	524		?	ĭ e n ˥˩
1048	1 xia	臻 (xia)	Baxter	. i n .	524		?	. i n .
1049	1 xia	荅 (xia)	Zhou	. ɒ p .	525		?	. ɒ p .
1050	1 xia	荅 (xia)	Baxter	. o p .	525		?	. o p .
1051	1 xia	華 (xia)	Zhou	w a . ˥˩	526		?	w a . ˥˩
1052	1 xia	華 (xia)	Baxter	w æ . .	526		?	w æ . .
1053	1 xia	萃 (xia)	Zhou	w i . ˩˥	527		?	w i . ˩˥
1054	1 xia	萃 (xia)	Baxter	w ij . H	527		?	w ij . H
1055	1 xia	萌 (xia)	Zhou	. æ ŋ ˩	528		?	. æ ŋ ˩
1056	1 xia	萌 (xia)	Baxter	. o ng .	528		?	. o ng .
1057	1 xia	蒸 (xia)	Zhou	ĭ ə ŋ ˥˩	529		?	ĭ ə ŋ ˥˩
1058	1 xia	蒸 (xia)	Baxter	j i ng .	529		?	j i ng .
1059	1 xia	藥 (xia)	Zhou	ĭ a k .	530		?	ĭ a k .
1060	1 xia	藥 (xia)	Baxter	j a k .	530		?	j a k .
1061	1 xia	虐 (xia)	Zhou	ĭ a k .	531		?	ĭ a k .
1062	1 xia	虐 (xia)	Baxter	j a k .	531		?	j a k .
1063	1 xia	蛙 (xia)	Zhou	w ai . ˥˩	532		?	w ai . ˥˩
1064	1 xia	蛙 (xia)	Baxter	w a . .	532		?	w a . .
1065	1 xia	衞 (xia)	Zhou	ĭw ɛi . ˩˥	533		?	ĭw ɛi . ˩˥
1066	1 xia	衞 (xia)	Baxter	jw !? . H	533		?	jw !? . H
1067	1 xia	衮 (xia)	Zhou	u ə n ˥	534		?	u ə n ˥
1068	1 xia	衮 (xia)	Baxter	w a n X	534		?	w a n X
1069	1 xia	覺 (xia)	Zhou	. ɔ k .	535		?	. ɔ k .
1070	1 xia	覺 (xia)	Baxter	. æw k .	535		?	. æw k .
1071	1 xia	詵 (xia)	Zhou	ĭ e n ˥˩	536		?	ĭ e n ˥˩
1072	1 xia	詵 (xia)	Baxter	. i n .	536		?	. i n .
1073	1 xia	誅 (xia)	Zhou	ĭ u . ˩	537		?	ĭ u . ˩
1074	1 xia	誅 (xia)	Baxter	j u . .	537		?	j u . .
1075	1 xia	豈 (xia)	Zhou	ĭ əi . ˥	538		?	ĭ əi . ˥
1076	1 xia	豈 (xia)	Baxter	j ɨj . X	538		?	j ɨj . X
1077	1 xia	貫 (xia)	Zhou	u ɑ n ˩˥	539		?	u ɑ n ˩˥
1078	1 xia	貫 (xia)	Baxter	w a n H	539		?	w a n H
1079	1 xia	責 (xia)	Zhou	. æ k .	540		?	. æ k .
1080	1 xia	責 (xia)	Baxter	. ɛ k .	540		?	. ɛ k .
1081	1 xia	足 (xia)	Zhou	ĭw o k .	541		?	ĭw o k .
1082	1 xia	足 (xia)	Baxter	j ow k .	541			j ow k .
1083	1 xia	輒 (xia)	Zhou	ĭ ɛ p .	542		?	ĭ ɛ p .
1084	1 xia	輒 (xia)	Baxter	j e p .	542		?	j e p .
1085	1 xia	迄 (xia)	Zhou	ĭ ə t .	543		?	ĭ ə t .
1086	1 xia	迄 (xia)	Baxter	j ɨ t .	543		?	j ɨ t .
1087	1 xia	迷 (xia)	Zhou	i ei . ˩	544		?	i ei . ˩
1088	1 xia	迷 (xia)	Baxter	. ej . .	544		?	. ej . .
1089	1 xia	迹 (xia)	Zhou	ĭ ɛ k .	545		?	ĭ ɛ k .
1090	1 xia	迹 (xia)	Baxter	j e k .	545		?	j e k .
1091	1 xia	逆 (xia)	Zhou	ĭ ɐ k .	546		?	ĭ ɐ k .
1092	1 xia	逆 (xia)	Baxter	j æ k .	546		?	j æ k .
1093	1 xia	逾 (xia)	Zhou	ĭ u . ˥˩	547		?	ĭ u . ˥˩
1094	1 xia	逾 (xia)	Baxter	j u . .	547		?	j u . .
1095	1 xia	道 (xia)	Zhou	. ɑu . ˥	548		?	. ɑu . ˥
1096	1 xia	道 (xia)	Baxter	. aw . X	548		?	. aw . X
1097	1 xia	遭 (xia)	Zhou	. ɑu . ˥˩	549		?	. ɑu . ˥˩
1098	1 xia	遭 (xia)	Baxter	. aw . .	549		?	. aw . .
1099	1 xia	酉 (xia)	Zhou	ĭ əu . ˥	550		?	ĭ əu . ˥
1100	1 xia	酉 (xia)	Baxter	j uw . X	550		?	j uw . X
1101	1 xia	録 (xia)	Zhou	ĭw o k .	551		?	ĭw o k .
1102	1 xia	録 (xia)	Baxter	jw ow k .	551		?	jw ow k .
1103	1 xia	鍾 (xia)	Zhou	ĭw o ŋ ˩	552		?	ĭw o ŋ ˩
