ID	TYPE	CONCEPT	DOCULECT	TOKENS	COGID	FORM	NOTE	ALIGNMENT
134	0 shang	犲 (shang)	Baxter	!? .	67	dʒʰæi˩˥	?	!? .
135	0 shang	獲 (shang)	Zhou	ɣ w	68	ɣwæn˩	?	ɣ w
136	0 shang	獲 (shang)	Baxter	h w	68	ɣwæn˩	?	h w
137	0 shang	玉 (shang)	Zhou	ŋ .	69	ŋɐm˩˥	?	ŋ .
138	0 shang	玉 (shang)	Baxter	ng .	69	ŋɐm˩˥	?	ng .
139	0 shang	生 (shang)	Zhou	ʃ w	70	ʃwan˩˥	?	ʃ w
140	0 shang	生 (shang)	Baxter	!? w	70	ʃwan˩˥	?	!? w
141	0 shang	癡 (shang)	Zhou	ţʰ ĭu	71	ţʰĭuĕn˥	?	ţʰ ĭu
142	0 shang	癡 (shang)	Baxter	trh jw	71	ţʰĭuĕn˥	?	trh jw
143	0 shang	白 (shang)	Zhou	bʰ .	72	bʰa˩˥ / bʰam˩	?	bʰ .
144	0 shang	白 (shang)	Baxter	b .	72	bʰa˩˥ / bʰam˩	?	b .
145	0 shang	百 (shang)	Zhou	p .	73	pat	?	p .
146	0 shang	百 (shang)	Baxter	p .	73	pat	?	p .
147	0 shang	研 (shang)	Zhou	ŋ i	74	ŋiei˥ / ŋien˥	?	ŋ i
148	0 shang	研 (shang)	Baxter	ng j	74	ŋiei˥ / ŋien˥	?	ng j
149	0 shang	穠 (shang)	Zhou	ɳ ĭw	75	ɳĭwoŋ˩˥	?	ɳ ĭw
150	0 shang	穠 (shang)	Baxter	ny w	75	ɳĭwoŋ˩˥	?	ny w
151	0 shang	筠 (shang)	Zhou	. ĭ	76	ĭɛp	?	. ĭ
152	0 shang	筠 (shang)	Baxter	. j	76	ĭɛp	?	. j
153	0 shang	簪 (shang)	Zhou	ʧ w	77	ʧwæk	?	ʧ w
154	0 shang	簪 (shang)	Baxter	!? w	77	ʧwæk	?	!? w
155	0 shang	縷 (shang)	Zhou	l ĭu	78	lĭuɑ˩	?	l ĭu
